State,Abbr.,Date of statehood,Capital,Capital since,Land area (mi²),Rank in cities of its state by population,Municipal population (2010 census),Metropolitan population (2010 census),Notes
New York,NY,1788,Albany,1797,21.4,6,"97,856","857,592",New York City is the state's largest city.
Louisiana,LA,1812,Baton Rouge,1880,76.8,2,"229,553","802,484",New Orleans is the state's largest city and home to the Louisiana Supreme Court. Louisiana is home to the tallest state capitol building.
Pennsylvania,PA,1787,Harrisburg,1812,8.11,9,"49,528","647,390",Philadelphia is the state's largest city.
Idaho,ID,1890,Boise,1865,63.8,1,"205,671","616,561",
Iowa,IA,1846,Des Moines,1857,75.8,1,"203,433","580,255",
Wisconsin,WI,1848,Madison,1838,68.7,2,"233,209","561,505",Milwaukee is the state's largest city.
Mississippi,MS,1817,Jackson,1821,104.9,1,"173,514","539,057",
Michigan,MI,1837,Lansing,1847,35.0,5,"114,297","464,036",Lansing is the only state capital that is not also the county seat of the county in which it is situated.[citation needed] Detroit is the state's largest city.
Oregon,OR,1859,Salem,1855,45.7,3,"154,637","390,738",Portland is the state's largest city.
Alabama,AL,1819,Montgomery,1846,155.4,2,"205,764","374,536",Birmingham is the state's largest city
Florida,FL,1845,Tallahassee,1824,95.7,7,"181,412","367,413","Jacksonville is the largest city, and Miami has the largest metro area."
New Jersey,NJ,1787,Trenton,1784,7.66,10,"84,913","366,513",Newark is the state's largest city. Trenton served as the US capital for a short period in the late 18th century.
West Virginia,WV,1863,Charleston,1885,31.6,1,"51,400","304,214",
Nebraska,NE,1867,Lincoln,1867,74.6,2,"258,379","302,157",Omaha is the state's largest city.
Washington,WA,1889,Olympia,1853,16.7,22,"46,478","234,670",Seattle is the state's largest city.
Kansas,KS,1861,Topeka,1856,56.0,4,"127,473","230,824",Wichita is the state's largest city.
Illinois,IL,1818,Springfield,1837,54.0,6,"116,250","208,182",Chicago is the state's largest city.
New Mexico,NM,1912,Santa Fe,1610,37.3,4,"75,764","183,732",Santa Fe is the longest serving capital in the United States. El Paso del Norte served as the capital of the Santa Fe de Nuevo México colony-in-exile during the Pueblo Revolt of 1680–1692. Santa Fe has the highest elevation of any state capital. Albuquerque is the state's largest city.
Delaware,DE,1787,Dover,1777,22.4,2,"36,047","162,310",Longest-serving capital in terms of statehood. Wilmington is the state's largest city.
Missouri,MO,1821,Jefferson City,1826,27.3,15,"43,079","149,807","Kansas City is the state's largest city, and Greater St. Louis is the state's largest metropolitan area."
Maine,ME,1820,Augusta,1832,55.4,8,"19,136","117,114","Augusta was officially made the capital 1827, but the legislature did not sit there until 1832. Portland is the state's largest city."
North Dakota,ND,1889,Bismarck,1883,26.9,2,"61,272","108,779",Fargo is the state's largest city.
Wyoming,WY,1890,Cheyenne,1869,21.1,1,"59,466","91,738",
Montana,MT,1889,Helena,1875,14.0,6,"28,190","74,801",Billings is the state's largest city.
Kentucky,KY,1792,Frankfort,1792,14.7,14,"25,527","70,758",Louisville is the state's largest city.
Alaska,AK,1959,Juneau,1906,2716.7,3,"31,275",,Juneau is the largest capital by land area. Anchorage is the state's largest city.
Maryland,MD,1788,Annapolis,1694,6.73,7,"38,394",,Annapolis is the third-longest serving capital in the United States after Santa Fe and Boston. Its capitol building is the oldest still in use. It is also the smallest capital by land area. Baltimore is the state's largest city.
Nevada,NV,1864,Carson City,1861,143.4,6,"55,274",,Las Vegas is the state's largest city.
New Hampshire,NH,1788,Concord,1808,64.3,3,"42,695",,Manchester is the state's largest city.
South Dakota,SD,1889,Pierre,1889,13.0,8,"13,646",,Sioux Falls is the state's largest city.
Vermont,VT,1791,Montpelier,1805,10.2,5,"7,855",,Montpelier is the least populous U.S. state capital. Burlington is the state's largest city.
